epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9046,1.2522,2.30308,1.02912,0.89323,0.40336,0.6731,0.39769,1.37559,2.09015,1.0698,0.0702727,0.00330303,0.00330303
2,89.5996,1.30263,1.33438,1.04604,0.65973,0.57232,0.58699,0.35222,1.37058,1.74862,1.11352,0.0402399,0.00660351,0.00660351
3,131.79,1.40346,1.4368,1.09156,0.42754,0.30536,0.29694,0.15701,1.76797,5.06822,1.3652,0.010174,0.009871,0.009871
4,174.018,1.52518,1.56377,1.16621,0.5525,0.43393,0.45169,0.26332,1.54262,3.09981,1.2855,0.0098515,0.0098515,0.0098515
5,215.916,1.44035,1.44073,1.14269,0.60652,0.40049,0.42842,0.27319,1.42679,2.28247,1.20923,0.009802,0.009802,0.009802
6,257.995,1.42164,1.34926,1.13934,0.54141,0.40357,0.39998,0.23496,1.62196,1.75782,1.23241,0.0097525,0.0097525,0.0097525
7,300.273,1.37914,1.28185,1.10967,0.68222,0.56355,0.61132,0.3798,1.36595,1.5618,1.12934,0.009703,0.009703,0.009703
8,342.384,1.34846,1.18865,1.11318,0.79719,0.61964,0.69403,0.43268,1.32928,1.28994,1.13368,0.0096535,0.0096535,0.0096535
9,384.388,1.31172,1.14801,1.09609,0.84528,0.64387,0.72359,0.45839,1.29931,1.12836,1.12422,0.009604,0.009604,0.009604
10,426.669,1.30192,1.10644,1.08328,0.84294,0.65446,0.73347,0.47333,1.22663,1.22426,1.09866,0.0095545,0.0095545,0.0095545
11,468.635,1.26899,1.04036,1.07698,0.86249,0.65179,0.76594,0.49388,1.22809,0.97414,1.07022,0.009505,0.009505,0.009505
12,510.731,1.2597,1.02535,1.06824,0.90946,0.68482,0.80015,0.52777,1.17051,0.90727,1.07268,0.0094555,0.0094555,0.0094555
13,552.835,1.24249,1.00647,1.05555,0.885,0.69911,0.79035,0.51589,1.19239,1.00927,1.07456,0.009406,0.009406,0.009406
14,595.288,1.24259,0.98371,1.05965,0.81009,0.68929,0.74912,0.47741,1.22719,0.93239,1.07819,0.0093565,0.0093565,0.0093565
15,638.178,1.22371,0.95532,1.05433,0.88202,0.70085,0.78823,0.50912,1.1828,0.94814,1.06139,0.009307,0.009307,0.009307
16,680.318,1.20663,0.95865,1.05446,0.85091,0.67768,0.77213,0.50376,1.22093,1.08569,1.09473,0.0092575,0.0092575,0.0092575
17,722.361,1.20836,0.94039,1.05175,0.86063,0.71071,0.79519,0.53552,1.13408,0.91703,1.04415,0.009208,0.009208,0.009208
18,764.474,1.17563,0.89353,1.03367,0.8897,0.71071,0.79823,0.52159,1.20412,0.89352,1.07616,0.0091585,0.0091585,0.0091585
19,806.572,1.18499,0.90285,1.03098,0.88531,0.74196,0.82281,0.53918,1.14046,0.82807,1.03686,0.009109,0.009109,0.009109
20,848.516,1.15912,0.87258,1.02178,0.88458,0.72411,0.81584,0.55505,1.13785,0.79622,1.05027,0.0090595,0.0090595,0.0090595
21,890.513,1.17649,0.86633,1.01626,0.8969,0.73482,0.826,0.54723,1.14275,0.83653,1.04382,0.00901,0.00901,0.00901
22,932.607,1.15889,0.85411,1.02835,0.90869,0.77305,0.84961,0.569,1.12798,0.76463,1.03389,0.0089605,0.0089605,0.0089605
23,975.388,1.1561,0.82435,1.02055,0.88356,0.75625,0.82999,0.55543,1.14397,0.82215,1.03954,0.008911,0.008911,0.008911
24,1018.25,1.1521,0.83187,1.00909,0.89064,0.69803,0.80981,0.55388,1.11553,0.82591,1.03812,0.0088615,0.0088615,0.0088615
25,1061.46,1.12388,0.81368,1.0051,0.88225,0.76786,0.84057,0.55982,1.14139,0.79625,1.03495,0.008812,0.008812,0.008812
26,1104.63,1.13252,0.81458,1.01048,0.88711,0.7227,0.82155,0.55323,1.13753,0.79281,1.03239,0.0087625,0.0087625,0.0087625
27,1147.04,1.11246,0.78935,0.99691,0.91557,0.79397,0.86949,0.58849,1.10472,0.74806,1.0249,0.008713,0.008713,0.008713
28,1189.37,1.12008,0.795,1.00461,0.91339,0.77232,0.85771,0.57324,1.1426,0.74205,1.02581,0.0086635,0.0086635,0.0086635
29,1231.56,1.12547,0.79559,1.00757,0.89174,0.76489,0.83514,0.56408,1.12336,0.76916,1.02097,0.008614,0.008614,0.008614
30,1273.91,1.10018,0.76221,0.99715,0.90511,0.76161,0.85913,0.58029,1.09708,0.71991,1.02281,0.0085645,0.0085645,0.0085645
31,1316.34,1.12017,0.77991,0.99786,0.89286,0.77232,0.85772,0.57922,1.0968,0.7668,1.01659,0.008515,0.008515,0.008515
32,1358.65,1.09906,0.75666,0.99904,0.92593,0.77589,0.87773,0.59893,1.08708,0.668,1.01172,0.0084655,0.0084655,0.0084655
33,1401.07,1.09671,0.74862,0.98789,0.92046,0.78523,0.87563,0.59309,1.11163,0.69189,1.02839,0.008416,0.008416,0.008416
34,1443.35,1.07836,0.72521,0.98361,0.9371,0.79817,0.88506,0.5997,1.08378,0.67623,1.00477,0.0083665,0.0083665,0.0083665
35,1485.39,1.07599,0.72852,0.98916,0.90274,0.7875,0.87005,0.595,1.07254,0.70331,1.00396,0.008317,0.008317,0.008317
36,1528.3,1.08973,0.74882,0.99543,0.90286,0.79643,0.86136,0.59001,1.0822,0.69215,1.01188,0.0082675,0.0082675,0.0082675
37,1571.36,1.08665,0.74367,0.98689,0.89833,0.79684,0.87756,0.60066,1.0701,0.71483,1.00659,0.008218,0.008218,0.008218
38,1614.3,1.08118,0.72138,0.98448,0.90375,0.78802,0.8671,0.59009,1.09215,0.70782,1.02112,0.0081685,0.0081685,0.0081685
39,1656.55,1.06243,0.71283,0.97942,0.89795,0.78561,0.86259,0.58185,1.10124,0.70224,1.01553,0.008119,0.008119,0.008119
40,1698.68,1.08508,0.7242,0.98842,0.91769,0.80633,0.87779,0.60436,1.0525,0.65131,0.99696,0.0080695,0.0080695,0.0080695
41,1740.74,1.05309,0.70342,0.97745,0.91456,0.81234,0.8837,0.61145,1.04632,0.66857,0.99917,0.00802,0.00802,0.00802
42,1782.95,1.06366,0.70912,0.98413,0.93954,0.81339,0.8994,0.61498,1.04307,0.63611,0.98752,0.0079705,0.0079705,0.0079705
43,1825.5,1.06013,0.69383,0.97786,0.90515,0.78389,0.8693,0.59855,1.06204,0.71323,1.00035,0.007921,0.007921,0.007921
44,1867.98,1.05845,0.69723,0.98396,0.91066,0.81002,0.8865,0.60869,1.0524,0.66526,0.9982,0.0078715,0.0078715,0.0078715
45,1910.42,1.04683,0.68577,0.97779,0.89598,0.81607,0.88907,0.61883,1.04499,0.64709,0.99249,0.007822,0.007822,0.007822
46,1953.15,1.05208,0.68972,0.97481,0.92841,0.82215,0.90112,0.62267,1.04386,0.62709,0.99346,0.0077725,0.0077725,0.0077725
47,1996.21,1.04179,0.6742,0.97587,0.9158,0.82411,0.88779,0.61862,1.02671,0.6334,0.98324,0.007723,0.007723,0.007723
48,2038.38,1.02901,0.66216,0.97265,0.94307,0.79872,0.89718,0.6262,1.00947,0.63899,0.98498,0.0076735,0.0076735,0.0076735
49,2080.56,1.02861,0.65949,0.96556,0.92288,0.82277,0.90394,0.63206,1.02882,0.61813,0.98775,0.007624,0.007624,0.007624
50,2122.64,1.03782,0.67485,0.97092,0.92202,0.83396,0.89733,0.61256,1.05748,0.62512,0.99343,0.0075745,0.0075745,0.0075745
51,2164.81,1.0259,0.66025,0.96898,0.92458,0.82232,0.90289,0.62525,1.03526,0.61884,0.99509,0.007525,0.007525,0.007525
