epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.89,1.28386,2.41316,1.12208,0.8193,0.60725,0.70712,0.43846,1.28951,1.3485,1.16031,0.0684058,0.00166285,0.00166285
2,256.874,1.21783,1.27436,1.07527,0.8163,0.67232,0.76709,0.50164,1.23453,1.11623,1.11826,0.0367281,0.00331853,0.00331853
3,376.528,1.26843,1.28521,1.10558,0.87311,0.67411,0.77601,0.48845,1.31534,1.14218,1.13063,0.00503949,0.00496321,0.00496321
4,493.416,1.31665,1.35313,1.13486,0.75586,0.57768,0.66468,0.42836,1.30575,1.45085,1.15663,0.0049505,0.0049505,0.0049505
5,612.327,1.31776,1.31585,1.12868,0.79867,0.65173,0.73399,0.46904,1.2602,1.19768,1.12153,0.004934,0.004934,0.004934
6,733.5,1.28455,1.24998,1.11123,0.8167,0.70416,0.7786,0.50331,1.26893,1.14411,1.1166,0.0049175,0.0049175,0.0049175
7,853.643,1.26446,1.20049,1.11075,0.85596,0.71097,0.812,0.53184,1.18343,1.03797,1.09711,0.004901,0.004901,0.004901
8,985.424,1.23834,1.13281,1.09121,0.85268,0.73383,0.79867,0.52102,1.21037,1.03184,1.08894,0.0048845,0.0048845,0.0048845
9,1118.11,1.2305,1.10838,1.09691,0.85395,0.77232,0.84379,0.55155,1.19204,0.93583,1.08575,0.004868,0.004868,0.004868
10,1248.2,1.21894,1.0848,1.08242,0.84849,0.74501,0.81947,0.53714,1.18632,0.95716,1.07879,0.0048515,0.0048515,0.0048515
11,1373.45,1.19824,1.00746,1.06751,0.86001,0.72946,0.82163,0.52871,1.19758,1.03901,1.10008,0.004835,0.004835,0.004835
12,1491.87,1.18786,1.00178,1.07365,0.88895,0.77679,0.86725,0.56347,1.16803,0.9021,1.078,0.0048185,0.0048185,0.0048185
13,1617.33,1.18037,0.98582,1.06779,0.84271,0.77017,0.83153,0.54644,1.15832,0.89516,1.06173,0.004802,0.004802,0.004802
14,1741.83,1.17969,0.96678,1.06041,0.89194,0.77385,0.84919,0.56007,1.16814,0.88593,1.0779,0.0047855,0.0047855,0.0047855
15,1867.51,1.15504,0.93899,1.0532,0.86453,0.79554,0.86664,0.58525,1.14863,0.84103,1.0616,0.004769,0.004769,0.004769
16,1988.61,1.16492,0.94138,1.06264,0.89718,0.8125,0.88813,0.6015,1.12787,0.81903,1.06087,0.0047525,0.0047525,0.0047525
17,2109.62,1.14013,0.90211,1.05445,0.9048,0.78921,0.88113,0.59235,1.14019,0.81114,1.05978,0.004736,0.004736,0.004736
18,2232.5,1.14384,0.85798,1.04065,0.90427,0.78839,0.87632,0.57739,1.16108,0.8114,1.06953,0.0047195,0.0047195,0.0047195
19,2353.57,1.14825,0.88668,1.05258,0.86468,0.8,0.87969,0.59399,1.12503,0.78398,1.05155,0.004703,0.004703,0.004703
20,2475.2,1.12984,0.85085,1.03625,0.88817,0.82262,0.89516,0.60261,1.13176,0.76857,1.04899,0.0046865,0.0046865,0.0046865
21,2601.41,1.1373,0.87004,1.04289,0.87633,0.79083,0.83983,0.5636,1.13559,0.84265,1.07391,0.00467,0.00467,0.00467
22,2722.6,1.12256,0.8417,1.03679,0.92693,0.81964,0.9045,0.61071,1.11359,0.74386,1.04392,0.0046535,0.0046535,0.0046535
23,2843.94,1.10454,0.82336,1.03064,0.90823,0.82589,0.90268,0.62168,1.10461,0.74718,1.04642,0.004637,0.004637,0.004637
24,2964.73,1.11356,0.80521,1.02673,0.8794,0.83482,0.89807,0.61862,1.10313,0.74192,1.05138,0.0046205,0.0046205,0.0046205
25,3085.28,1.10087,0.80228,1.0251,0.89889,0.83571,0.89937,0.61401,1.0931,0.74932,1.0386,0.004604,0.004604,0.004604
26,3205.99,1.10662,0.81721,1.03608,0.89943,0.82321,0.89312,0.61229,1.11329,0.74063,1.05367,0.0045875,0.0045875,0.0045875
27,3326.45,1.09898,0.78481,1.02843,0.8838,0.85893,0.90382,0.62294,1.10748,0.72657,1.0404,0.004571,0.004571,0.004571
28,3447.07,1.08224,0.78667,1.01963,0.90165,0.82674,0.89606,0.61695,1.09774,0.73209,1.04674,0.0045545,0.0045545,0.0045545
29,3567.61,1.09419,0.77889,1.03155,0.93353,0.82767,0.90776,0.62399,1.0931,0.70626,1.04411,0.004538,0.004538,0.004538
30,3692.55,1.07516,0.77368,1.01641,0.89643,0.81429,0.89019,0.62332,1.0804,0.71919,1.03255,0.0045215,0.0045215,0.0045215
31,3815.63,1.07706,0.77043,1.0125,0.9138,0.83295,0.90645,0.62539,1.06625,0.73406,1.02889,0.004505,0.004505,0.004505
32,3936.54,1.07455,0.74219,1.02003,0.91678,0.83611,0.9041,0.63084,1.07741,0.69794,1.03439,0.0044885,0.0044885,0.0044885
33,4056.86,1.05765,0.74354,1.01089,0.91067,0.83304,0.90741,0.63471,1.07079,0.69202,1.02735,0.004472,0.004472,0.004472
34,4177.22,1.05397,0.72653,1.00852,0.8822,0.84643,0.90603,0.62983,1.07703,0.71965,1.02782,0.0044555,0.0044555,0.0044555
35,4298.64,1.05649,0.72311,1.00328,0.92714,0.82857,0.91151,0.62886,1.08677,0.6906,1.04308,0.004439,0.004439,0.004439
36,4426.49,1.04854,0.7305,1.00622,0.92078,0.85357,0.91774,0.6331,1.04976,0.67127,1.01508,0.0044225,0.0044225,0.0044225
37,4554.34,1.05672,0.7233,1.01145,0.90301,0.85268,0.91479,0.62867,1.07903,0.68097,1.0306,0.004406,0.004406,0.004406
38,4683.56,1.06094,0.7171,1.00947,0.91721,0.83092,0.91388,0.64111,1.07589,0.68087,1.03147,0.0043895,0.0043895,0.0043895
39,4812.4,1.04657,0.70326,1.00885,0.91633,0.86052,0.92587,0.64506,1.05935,0.66222,1.0142,0.004373,0.004373,0.004373
40,4940.76,1.02988,0.68916,0.98758,0.90613,0.87045,0.92156,0.64487,1.06241,0.64615,1.02317,0.0043565,0.0043565,0.0043565
41,5069.09,1.03859,0.68097,0.99775,0.92035,0.85357,0.91868,0.63911,1.06071,0.66041,1.01798,0.00434,0.00434,0.00434
42,5197.47,1.03569,0.68677,0.99724,0.91989,0.85091,0.91829,0.64783,1.05866,0.65709,1.02124,0.0043235,0.0043235,0.0043235
43,5324.88,1.027,0.69073,1.00128,0.93275,0.85536,0.92498,0.64519,1.06434,0.63766,1.02317,0.004307,0.004307,0.004307
44,5452.87,1.02878,0.68121,0.99448,0.90396,0.86875,0.92545,0.64671,1.05781,0.6586,1.0183,0.0042905,0.0042905,0.0042905
45,5581.21,1.03099,0.68333,0.99757,0.91562,0.85893,0.92285,0.64883,1.07386,0.6403,1.03759,0.004274,0.004274,0.004274
46,5709.57,1.02672,0.67367,1.00406,0.92683,0.86339,0.92313,0.64751,1.0501,0.64477,1.01203,0.0042575,0.0042575,0.0042575
47,5839.03,1.02542,0.67041,0.98975,0.92801,0.87321,0.93166,0.65288,1.05167,0.62427,1.01672,0.004241,0.004241,0.004241
48,5967.33,1.00799,0.66259,0.99052,0.92206,0.86786,0.92589,0.65221,1.04519,0.63501,1.0118,0.0042245,0.0042245,0.0042245
49,6096.34,1.00063,0.63746,0.97886,0.92846,0.87143,0.93233,0.66045,1.03338,0.62354,1.00856,0.004208,0.004208,0.004208
50,6224.83,1.01871,0.66087,0.98879,0.9445,0.86612,0.93345,0.65584,1.05585,0.62565,1.01541,0.0041915,0.0041915,0.0041915
51,6356.39,1.01039,0.64872,0.98342,0.90638,0.85893,0.91564,0.64728,1.03484,0.64114,1.01403,0.004175,0.004175,0.004175
52,6490.67,1.01959,0.64887,0.98668,0.91342,0.8666,0.92246,0.65288,1.02702,0.63354,1.00746,0.0041585,0.0041585,0.0041585
53,6621.07,1.01157,0.64264,0.99066,0.92115,0.88662,0.93703,0.65633,1.04763,0.61968,1.01088,0.004142,0.004142,0.004142
54,6751.78,1.00682,0.64096,0.98905,0.91058,0.87321,0.92549,0.64883,1.0515,0.63694,1.02789,0.0041255,0.0041255,0.0041255
55,6871.63,0.99767,0.63884,0.97837,0.94555,0.86607,0.93117,0.65943,1.04622,0.6176,1.01837,0.004109,0.004109,0.004109
56,6989.09,0.99875,0.61799,0.98238,0.92577,0.875,0.92849,0.66668,1.0186,0.60685,1.00609,0.0040925,0.0040925,0.0040925
57,7106.74,0.99042,0.61221,0.97321,0.92463,0.86529,0.92233,0.65952,1.02952,0.61726,1.01105,0.004076,0.004076,0.004076
58,7224.54,0.9872,0.61424,0.98139,0.93212,0.88283,0.93325,0.66423,1.0325,0.59016,1.0182,0.0040595,0.0040595,0.0040595
59,7343.91,0.99785,0.62729,0.98496,0.92273,0.89565,0.93363,0.66081,1.02887,0.59693,1.0203,0.004043,0.004043,0.004043
60,7465.69,0.99424,0.62393,0.97816,0.94128,0.87679,0.93533,0.67308,1.01626,0.59524,1.00395,0.0040265,0.0040265,0.0040265
61,7583.7,0.99526,0.62092,0.98636,0.93355,0.89018,0.94443,0.67438,1.02747,0.58182,1.01138,0.00401,0.00401,0.00401
62,7701.89,0.97897,0.61402,0.97889,0.93087,0.88839,0.93533,0.66665,1.02102,0.59595,1.00955,0.0039935,0.0039935,0.0039935
63,7822.56,0.98284,0.60634,0.97781,0.93041,0.88332,0.93412,0.67441,1.01098,0.5847,1.00217,0.003977,0.003977,0.003977
64,7946.76,0.98737,0.60495,0.97889,0.90741,0.89254,0.93204,0.66318,1.03294,0.59216,1.01075,0.0039605,0.0039605,0.0039605
65,8069.45,0.97503,0.61008,0.97796,0.92987,0.87612,0.93378,0.67128,1.01447,0.59222,1.00122,0.003944,0.003944,0.003944
66,8192.14,0.9758,0.59961,0.97322,0.93408,0.88559,0.93268,0.66766,1.02236,0.57368,1.00719,0.0039275,0.0039275,0.0039275
67,8313.65,0.96423,0.59231,0.97414,0.94017,0.86607,0.92932,0.67213,1.01236,0.5811,1.00369,0.003911,0.003911,0.003911
68,8439.29,0.98031,0.61151,0.97427,0.94773,0.87417,0.92958,0.6604,1.03639,0.59587,1.01037,0.0038945,0.0038945,0.0038945
69,8563.58,0.95542,0.58467,0.9646,0.93258,0.89196,0.93784,0.67537,1.0207,0.57065,1.00116,0.003878,0.003878,0.003878
