epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,759.462,1.16658,2.12568,1.06425,0.74563,0.59934,0.68073,0.41985,1.28266,1.45619,1.0659,0.0702727,0.00330303,0.00330303
2,1620.36,1.19827,1.05438,1.01418,0.72243,0.59643,0.67449,0.41703,1.30188,3.38438,1.08426,0.0402399,0.00660351,0.00660351
1,86.5078,1.19155,1.73122,1.06297,0.82262,0.69643,0.77965,0.5101,1.22787,1.01911,1.02587,0.070137,0.00331811,0.00331811
2,170.957,1.21186,1.08473,1.01555,0.69868,0.55536,0.60437,0.37235,1.38944,4.28387,1.14442,0.0401041,0.00661852,0.00661852
3,252.908,1.3851,1.31777,1.08878,0.52012,0.47807,0.44398,0.27321,1.46095,2.60376,1.2041,0.0100381,0.00988593,0.00988593
4,334.01,1.46567,1.43749,1.15763,0.72267,0.53929,0.61038,0.36229,1.45587,2.35338,1.18665,0.0098515,0.0098515,0.0098515
5,414.866,1.42538,1.30503,1.14658,0.71223,0.61071,0.63106,0.39636,1.34281,1.62836,1.14683,0.009802,0.009802,0.009802
6,495.818,1.39319,1.2594,1.14181,0.78513,0.56607,0.62439,0.39575,1.3505,1.66887,1.17113,0.0097525,0.0097525,0.0097525
7,576.56,1.34183,1.17321,1.11448,0.80616,0.60089,0.69,0.43998,1.33032,1.23554,1.12565,0.009703,0.009703,0.009703
8,657.69,1.32114,1.13436,1.1177,0.77709,0.63497,0.70679,0.45404,1.29327,1.23168,1.14705,0.0096535,0.0096535,0.0096535
9,738.551,1.30731,1.07807,1.09289,0.87327,0.66607,0.75081,0.48059,1.25654,1.03251,1.10006,0.009604,0.009604,0.009604
10,819.945,1.25525,1.02575,1.07521,0.84874,0.68482,0.76573,0.50284,1.23866,0.9367,1.08464,0.0095545,0.0095545,0.0095545
11,900.88,1.25148,0.99121,1.07479,0.87127,0.6708,0.75729,0.49984,1.22654,0.97086,1.09346,0.009505,0.009505,0.009505
12,982.457,1.24313,0.96836,1.06152,0.8672,0.72857,0.80425,0.53731,1.19537,0.92291,1.06462,0.0094555,0.0094555,0.0094555
13,1064.68,1.21272,0.94618,1.05675,0.85385,0.73028,0.79328,0.53148,1.18551,0.94807,1.0752,0.009406,0.009406,0.009406
14,1145.93,1.21401,0.95077,1.05633,0.87593,0.71233,0.80365,0.53997,1.16137,0.83075,1.05694,0.0093565,0.0093565,0.0093565
15,1226.75,1.18237,0.90127,1.03807,0.88549,0.74567,0.82795,0.55265,1.13033,0.80587,1.04857,0.009307,0.009307,0.009307
16,1306.65,1.17851,0.89216,1.04669,0.89347,0.73661,0.82172,0.54676,1.14701,0.81956,1.05739,0.0092575,0.0092575,0.0092575
17,1386.07,1.17514,0.86691,1.0408,0.92286,0.73702,0.8426,0.56056,1.1554,0.77299,1.05646,0.009208,0.009208,0.009208
18,1465.68,1.15691,0.83258,1.02581,0.90271,0.76218,0.84825,0.5672,1.12959,0.73959,1.03445,0.0091585,0.0091585,0.0091585
19,1545.56,1.15444,0.84367,1.03066,0.91587,0.74018,0.84161,0.57294,1.12441,0.7716,1.04243,0.009109,0.009109,0.009109
